ID,Age,Gender,Caregiver,Item,Utterances_C,MLU_C,Utterances_M,MLU_M,Token_C,TTR_C,VocD_C,Token_M,TTR_M,VocD_M,Turn,Nodes,Density,Clustering,Length
P34,42,M,MOT,Meerkat,73,3.507,75,5.707,249,0.37751,37.58,413,0.288136,32.33,243,56,0.04415584415584420,0.5226190476190480,3.1965811965812000
P34,42,M,MOT,Starfish,63,3.476,85,6.082,222,0.378378,28.68,524,0.274809,37.03,209,45,0.03939393939393940,0.32206349206349200,2.0128205128205100
P35,42,F,MOT,Car,52,3.173,68,4.529,164,0.445122,43.84,296,0.351351,43.88,155,45,0.025252525252525300,0.20740740740740700,1.6071428571428600
P35,42,F,MOT,ComputerBox,50,4.96,65,4.969,243,0.329218,25.6,311,0.340836,46.52,222,46,0.04154589371980680,0.3695652173913040,2.0
P35,42,F,MOT,Degu,53,4.34,63,5.365,225,0.32,20.33,315,0.361905,32.83,217,55,0.04377104377104380,0.3943434343434340,2.3596837944664000
P35,42,F,MOT,Robodog,45,3.956,47,4.723,169,0.360947,26.12,207,0.371981,23.44,158,201,0.00945273631840796,0.31219731070477300,4.859053989488770
P35,42,F,MOT,Meerkat,53,3.377,80,4.775,177,0.338983,22.6,370,0.327027,37.39,165,46,0.025120772946859900,0.33333333333333300,1.3333333333333300
P35,42,F,MOT,Starfish,48,3.854,81,5.481,192,0.359375,23.13,431,0.322506,44.44,168,30,0.027586206896551700,0.07222222222222220,1.5
P38,42,F,MOT,Car,52,3.75,77,4.818,190,0.431579,41.3,353,0.328612,43.33,186,49,0.047619047619047600,0.3846938775510200,1.1944444444444400
P38,42,F,MOT,ComputerBox,41,3.39,97,4.588,154,0.363636,21.26,417,0.254197,23,144,25,0.056666666666666700,0.24,2.388888888888890
P38,42,F,MOT,Degu,76,4.908,107,4.514,339,0.312684,33.8,455,0.296703,39.74,309,71,0.030583501006036200,0.3780684104627770,3.1452991452991500
P38,42,F,MOT,Robodog,46,3.783,63,4.603,159,0.402516,21.45,279,0.333333,32.06,145,194,0.013994978900699700,0.3170269879032770,4.367298844125240
P38,42,F,MOT,Meerkat,60,3.633,81,4.765,215,0.432558,47.1,369,0.325203,37.34,203,57,0.02944862155388470,0.3050543024227240,3.263157894736840
P38,42,F,MOT,Starfish,49,3.163,121,4.661,152,0.394737,31.2,540,0.233333,38.94,139,39,0.05128205128205130,0.3887667887667890,1.5333333333333300
P39,42,F,MOT,Car,20,2.25,97,5.515,NaN,NaN,NaN,511,0.332681,52,40,27,0.022792022792022800,0.1111111111111110,1.0
P39,42,F,MOT,ComputerBox,17,2.529,83,5.181,NaN,NaN,NaN,449,0.325167,45.57,41,18,0.0718954248366013,0.3611111111111110,1.3
P39,42,F,MOT,Degu,27,3.37,102,6.716,91,0.593407,44.46,668,0.282934,50.7,86,30,0.0367816091954023,0.3,1.5
P39,42,F,MOT,Robodog,12,2.833,57,5.667,NaN,NaN,NaN,311,0.398714,50.26,38,135,0.009729132117191820,0.2378365667254560,2.4836601307189500
P39,42,F,MOT,Meerkat,21,3.952,90,6.122,83,0.493976,25.46,547,0.301645,52.27,76,31,0.05591397849462370,0.2961597542242700,1.3571428571428600
P39,42,F,MOT,Starfish,32,2.25,113,5.965,72,0.638889,43.97,692,0.268786,43.12,70,26,0.036923076923076900,0.23076923076923100,1.0
P41,42,F,MOT,Car,60,4.5,75,4.307,270,0.37037,43.67,305,0.314754,30.34,248,52,0.03770739064856710,0.3948717948717950,3.039855072463770
P41,42,F,MOT,ComputerBox,25,5.44,36,4.917,144,0.395833,23.23,165,0.309091,16.3,135,25,0.12333333333333300,0.5,1.4
P41,42,F,MOT,Degu,51,5.373,85,5.471,252,0.333333,27.54,429,0.293706,34.56,229,49,0.05187074829931970,0.4289676310084470,2.219047619047620
P41,42,F,MOT,Robodog,49,3.673,60,5.633,169,0.449704,30.6,323,0.321981,26.03,158,161,0.019021739130434800,0.4000975620814860,3.161782178217820
P41,42,F,MOT,Meerkat,49,4.694,58,4.138,231,0.337662,30.26,238,0.361345,28.05,208,38,0.06258890469416790,0.5015873015873020,2.098901098901100
P41,42,F,MOT,Starfish,64,4.219,79,4.81,254,0.366142,38.98,360,0.294444,35.32,242,51,0.03529411764705880,0.39150326797385600,1.6666666666666700
P42,42,F,MOT,Car,48,5.062,44,4.455,239,0.334728,33.49,189,0.42328,36.84,217,36,0.1126984126984130,0.48415103415103400,2.283333333333330
P42,42,F,MOT,ComputerBox,38,4.132,68,5.471,153,0.45098,39.53,358,0.343575,42.51,141,40,0.05128205128205130,0.4390476190476190,1.8909090909090900
P42,42,F,MOT,Degu,44,3.841,54,6.352,161,0.465839,36.71,322,0.301242,31.1,153,36,0.03015873015873020,0.2037037037037040,1.5
P42,42,F,MOT,Robodog,54,4.037,51,5.02,204,0.387255,33.89,243,0.386831,36.66,189,163,0.017344542906915100,0.41336341877187900,3.8928231486769500
P42,42,F,MOT,Meerkat,51,3.98,54,5.259,202,0.460396,43.17,275,0.385455,49.93,189,51,0.042352941176470600,0.43790849673202600,2.1515151515151500
P42,42,F,MOT,Starfish,49,4.367,58,7.328,202,0.39604,40.68,408,0.32598,43.86,188,34,0.0481283422459893,0.3686274509803920,1.2666666666666700
P43,42,M,MOT,Car,58,2.983,81,4.963,166,0.403614,32.04,389,0.293059,39.11,153,33,0.04734848484848490,0.2909090909090910,1.6
P43,42,M,MOT,ComputerBox,25,2.8,69,4.928,67,0.522388,24.48,312,0.307692,30.24,66,11,0.14545454545454500,0.4848484848484850,1.3333333333333300
P43,42,M,MOT,Degu,44,2.909,84,4.94,132,0.424242,25.54,412,0.279126,39.76,122,27,0.04843304843304840,0.2716049382716050,1.4
P43,42,M,MOT,Robodog,43,3.767,73,4.904,154,0.480519,46.36,349,0.295129,34.35,143,109,0.0163098878695209,0.3110091743119270,3.355731225296440
P43,42,M,MOT,Meerkat,29,2.897,83,4.928,82,0.560976,29.53,400,0.265,28.61,75,21,0.07142857142857140,0.5079365079365080,1.3333333333333300
P43,42,M,MOT,Starfish,41,3.22,108,5.435,139,0.395683,19.73,565,0.210619,29.2,126,25,0.06,0.32,1.0
P45,42,F,MOT,Car,40,2.75,68,3.662,103,0.427184,20.55,244,0.393443,50.38,100,24,0.03260869565217390,0.0,1.6666666666666700
P45,42,F,MOT,ComputerBox,37,3.27,76,5.079,118,0.440678,26.51,371,0.301887,34.74,109,27,0.07122507122507120,0.4777777777777780,1.6428571428571400
P45,42,F,MOT,Degu,57,4.175,109,5.78,240,0.3,20.81,610,0.234426,43.95,222,34,0.06417112299465240,0.4215686274509800,2.286764705882350
P45,42,F,MOT,Robodog,77,3.429,79,4.646,260,0.226923,18.68,340,0.347059,44.54,233,109,0.021746517159361200,0.32454953566943400,2.8714202220923400
